,t,frame,x,y,tramo,sujeto
100,4880.0,122,531,161,1,8
101,5720.0,143,621,172,1,8
102,21200.0,530,47,153,2,8
103,21800.0,545,125,144,2,8
104,22520.0,563,216,155,2,8
105,23200.0,580,303,158,2,8
106,23880.0,597,384,172,2,8
107,24520.0,613,476,173,2,8
108,25120.0,628,542,190,2,8
109,25800.0,645,638,184,2,8
110,399.8533870913998,12,24,90,1,9
111,999.6334677284996,30,144,106,1,9
112,1632.7346639565492,49,272,108,1,9
113,2232.5147445936486,67,399,121,1,9
114,2798.9737096397985,84,527,124,1,9
115,3332.111559094998,100,606,134,1,9
116,23124.85422011929,694,11,86,2,9
117,23591.349838392587,708,128,102,2,9
118,24157.808803438737,725,234,94,2,9
119,24690.946652893934,741,351,111,2,9
120,25224.08450234913,757,459,100,2,9
121,25823.86458298624,775,563,113,2,9
122,26423.64466362333,793,653,106,2,9
123,466.4956182732998,14,13,200,1,10
124,999.6334677284996,30,62,188,1,10
125,1766.0191263203492,53,168,193,1,10
126,2432.4414381393485,73,269,185,1,10
127,3132.184865549298,94,382,189,1,10
128,3765.286061777348,113,483,179,1,10
129,4498.350604778248,135,572,185,1,10
130,19226.28369597813,577,8,188,2,10
131,19792.742661024287,594,90,199,2,10
132,20492.48608843424,615,163,182,2,10
133,21225.550631435137,637,279,188,2,10
134,21825.33071207224,655,370,178,2,10
135,22525.07413948219,676,464,184,2,10
136,23158.175335710235,695,554,174,2,10
137,24024.52434107493,721,618,184,2,10
138,566.4589650461497,17,39,141,1,11
139,1299.5235080470493,39,141,153,1,11
140,1999.266935456999,60,236,142,1,11
141,2665.6892472759982,80,353,153,1,11
142,3298.790443504048,99,464,144,1,11
143,4031.854986504948,121,576,154,1,11
144,4698.277298323947,141,616,147,1,11
145,21592.08290293559,648,26,152,2,11
146,22225.18409916364,667,121,142,2,11
147,22924.927526573585,688,245,155,2,11
148,23558.02872280164,707,358,138,2,11
149,24391.056612575387,732,483,151,2,11
150,24924.194462030588,748,569,141,2,11
151,25623.93788944053,769,652,152,2,11
